Network.Name,MainFundingAgency,Disturbances,Management.Structure,Geographic,CDEON Coordinated Distributed Experiments and Observations,EON Ecological Observatory Networks,LTMP Long-Term Monitoring Programs ,LTRN Long-Term Research Networks ,ORC Observational Research Consortia ,Terrestrial.Ecosystem,Freshwater.Ecosystem,Marine.Ecosystem,Atmospheric.Ecosystem,Coastal.Ecosystem
International Tundra Experiment ITEX,Member Home Agencies,1,Bottom-Up,Global,1,0,0,0,0,1,0,0,0,0
National Atmospheric Deposition Program NADP,USDA,0,Hybrid,USA,1,0,0,0,0,1,0,0,1,0
Free-Air Carbon dioxide Enrichment FACE,DOE,1,Hybrid,USA,1,0,0,0,0,1,0,0,1,0
Nutrient Network NutNet,"NSF RCN, LTER",0,Bottom-Up,Global,1,0,0,0,0,1,0,0,0,1
"Investigating Nutrient Cycling in Terrestrial Ecosystems: Integrating Observations, Experiments, and Models INCyTE",NSF RCN,0,Bottom-Up,NA,1,0,0,0,1,1,0,0,0,0
Greenhouse gas Reduction through Agricultural Carbon Enhancement network Gracenet,USDA,1,Directed,USA,1,0,0,0,0,1,0,0,1,0
Next Generation Ecosystem Experiments NGEE,DOE,1,Hybrid,Global,1,0,0,0,0,1,1,0,1,1
Marine GEO/ Tennenbaum Marine Observatories Network,Smithsonian; strategic partnerships,1,Bottom-Up,Global,1,0,0,0,1,1,0,1,0,1
North American Carbon Program,"NASA, NIST, NOAA, NSF, DOE, EPA, USGS, USDA, USDA ARS, ESREES, USFS, USNRCS",1,Directed,North America,1,0,0,0,1,1,1,1,1,1
National Ecological Observatory Network (NEON),"NSF; and MOUs with EPA, USGS, NOAA",1,Directed,Sites within 20 domains across North America,0,1,0,0,0,1,1,0,1,0
STReam Experimental Observatory Network (STREON),NSF,0,Directed,part of NEON,0,1,0,0,0,0,1,0,0,0
Global Ocean Observation System (GOOS),"UNESCO, IOC, WMO, UN, ISC (and regional funders)",0,Hybrid,Global network of regional alliances,0,1,0,0,0,0,0,1,0,0
National Estuarine Research Reserves Network (NEER(N)),NOAA Office Coastal Management,1,Directed,"North American Estuaries in major ecoregions (cold-temperate, warm-temperate, etc)",0,1,0,0,0,0,1,1,0,1
Sentinel Site Program,NOAA,1,Directed,"5 sites across North America (East Coast, Pacific, Gulf Coast, West Coast)",0,1,0,0,0,0,0,1,0,1
Integrated Ocean Observing System (IOOS),NOAA,1,Directed,"North America; Regional assoications (Alaska, Caribbean, Central and Northern California, Gulf of Mexico, Great Lakes, Mid-Atlantic, Pacific Northwestt, Northeast Atlantic, Pacific Islands, Southern California, Southeast Atlantic ",0,1,0,0,0,0,1,1,0,1
Global Wetlands Observation System (GWOS),EU Horizon 2020,0,Hybrid,Global network of regional alliances,0,1,0,0,0,0,0,0,0,1
Group on Earth Observations Biodiversity Observation Network (GEO BON) ,Not Assessed,0,Hybrid,"""Network of Networks""",0,1,0,0,0,1,1,1,1,1
National Marine Sanctuary (NMS),NOAA Coastal Ecosystem Science,1,Directed,"North America; 4 regions (Southeast, northwest, pacific islands, west coast) ",0,1,1,0,0,0,0,1,0,0
National Rivers and Streams Assessment (NRSA),EPA,0,Directed,Not Assessed,0,0,1,0,0,0,1,0,0,0
National coastal condition assessment (NCCA),EPA,0,Directed,Not Assessed,0,0,1,0,0,0,0,1,0,0
National Lakes Assesment program (NLA),EPA,0,Directed,Not Assessed,0,0,1,0,0,0,1,0,0,0
Clean Air Status and Trends Network,EPA,0,Directed,Not Assessed,0,0,1,0,0,0,0,0,1,0
National Estuary Program (NEP),EPA,1,Directed,US; estuarines of national importance ,0,0,1,0,0,0,0,1,0,1
National Water Quality Assessment (NAWQA),USGS,0,Directed,groundwaters and surface waters  nationwide,0,0,1,0,0,1,1,1,0,1
US National Park Service Inventory and Monitoring Program,Interior,0,Directed,Not Assessed,0,0,1,0,0,1,1,1,0,1
